ID,ML,CHIP,ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,OUTPUT,SIZE,PDI
01SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,0.25,3.0,MQ,YES,117.567,0.327
02SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,1.0,3.0,MQ,YES,124.403,0.403
04SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,1.0,3.0,PBS,YES,73.088,0.238
05SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,1.0,50.0,MQ,NO,141.591,0.597
06SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,0.25,50.0,PBS,YES,135.642,0.428
10SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,0.25,50.0,PBS,YES,138.894,0.49
15SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,1.0,3.0,PBS,YES,77.448,0.233
19SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,0.25,50.0,MQ,YES,131.205,0.38
20SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,0.25,3.0,PBS,NO,351.504,0.558
21SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,0.25,3.0,MQ,YES,135.609,0.369
23SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,1.0,50.0,MQ,YES,125.959,0.339
24SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,1.0,50.0,PBS,YES,102.376,0.385
01SM,ESM,Micromixer,5.0,0.0,5.0,0.0,0.25,3.0,MQ,YES,116.839,0.082
02SM,ESM,Micromixer,20.0,0.0,0.0,0.0,1.0,3.0,MQ,NO,1929.916,0.842
04SM,ESM,Micromixer,5.0,0.0,5.0,0.0,1.0,3.0,PBS,YES,91.433,0.1
05SM,ESM,Micromixer,20.0,0.0,0.0,0.0,1.0,50.0,MQ,NO,700.845,0.681
06SM,ESM,Micromixer,20.0,0.0,20.0,0.0,0.25,50.0,PBS,YES,122.961,0.236
10SM,ESM,Micromixer,5.0,0.0,0.0,0.0,0.25,50.0,PBS,NO,301.615,0.521
15SM,ESM,Micromixer,5.0,0.0,0.0,0.0,1.0,3.0,PBS,NO,2254.269,1.0
19SM,ESM,Micromixer,5.0,0.0,0.0,0.0,0.25,50.0,MQ,YES,109.153,0.284
20SM,ESM,Micromixer,20.0,0.0,0.0,0.0,0.25,3.0,PBS,NO,6478.919,1.0
21SM,ESM,Micromixer,20.0,0.0,20.0,0.0,0.25,3.0,MQ,YES,108.176,0.106
23SM,ESM,Micromixer,5.0,0.0,5.0,0.0,1.0,50.0,MQ,YES,70.824,0.118
24SM,ESM,Micromixer,20.0,0.0,20.0,0.0,1.0,50.0,PBS,YES,85.425,0.145
01CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,0.71,2.0,MQ,YES,111.287,0.294
02CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,0.71,23.0,MQ,YES,104.721,0.372
03CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,2.04,2.0,MQ,YES,77.048,0.221
04CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,2.04,23.0,MQ,YES,79.661,0.268
05CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.71,2.0,MQ,YES,92.827,0.188
06CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.71,23.0,MQ,YES,83.507,0.278
07CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,2.04,2.0,MQ,YES,72.548,0.268
08CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,2.04,23.0,MQ,YES,74.122,0.309
09CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,1.0,MQ,YES,133.264,0.39
10CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,50.0,MQ,YES,81.069,0.312
11CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,0.25,7.0,MQ,YES,108.6,0.284
12CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,2.5,7.0,MQ,YES,77.533,0.291
13CD,HSPC,Micromixer,0.0,12.570000000000002,0.0,4.19,1.37,7.0,MQ,YES,86.352,0.269
14CD,HSPC,Micromixer,0.0,7.542000000000001,6.704000000000001,2.514,1.37,7.0,MQ,YES,68.453,0.282
15CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,70.038,0.234
16CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,68.102,0.246
17CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,69.696,0.243
18CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,68.133,0.235
19CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,64.529,0.234
20CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,68.966,0.232
21CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,0.71,2.0,MQ,YES,87.575,0.327
22CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,0.71,23.0,MQ,YES,109.953,0.476
23CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,2.04,2.0,MQ,YES,86.444,0.343
24CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,2.04,23.0,MQ,YES,94.499,0.355
25CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.71,2.0,MQ,YES,93.444,0.183
26CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.71,23.0,MQ,YES,85.915,0.258
27CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,2.04,2.0,MQ,YES,62.883,0.198
28CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,2.04,23.0,MQ,YES,71.617,0.292
29CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,1.0,MQ,YES,139.797,0.387
30CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,50.0,MQ,YES,92.98,0.361
31CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,0.25,7.0,MQ,YES,124.162,0.316
32CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,2.5,7.0,MQ,YES,73.083,0.334
33CD,HSPC,Micromixer,0.0,12.570000000000002,0.0,4.19,1.37,7.0,MQ,YES,96.016,0.284
34CD,HSPC,Micromixer,0.0,7.542000000000001,6.704000000000001,2.514,1.37,7.0,MQ,YES,67.366,0.273
35CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,71.926,0.295
36CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,81.85,0.335
37CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,78.159,0.326
38CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,72.999,0.295
39CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,73.901,0.327
40CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,76.205,0.354
41CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,0.71,2.0,MQ,YES,130.717,0.402
42CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,0.71,23.0,MQ,YES,102.022,0.354
43CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,2.04,2.0,MQ,YES,93.195,0.262
44CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,2.04,23.0,MQ,YES,93.161,0.376
45CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.71,2.0,MQ,YES,96.056,0.164
46CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.71,23.0,MQ,YES,77.87,0.242
47CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,2.04,2.0,MQ,YES,67.582,0.145
48CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,2.04,23.0,MQ,YES,73.816,0.265
49CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,1.0,MQ,YES,147.172,0.392
50CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,50.0,MQ,YES,94.633,0.38
51CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,0.25,7.0,MQ,YES,122.904,0.317
52CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,2.5,7.0,MQ,YES,74.457,0.285
53CD,HSPC,Micromixer,0.0,12.570000000000002,0.0,4.19,1.37,7.0,MQ,YES,85.58,0.333
54CD,HSPC,Micromixer,0.0,7.542000000000001,6.704000000000001,2.514,1.37,7.0,MQ,YES,67.136,0.219
55CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,77.267,0.271
56CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,76.796,0.276
57CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,76.921,0.273
58CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,73.733,0.286
59CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,76.425,0.288
60CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,77.503,0.278
61CD,HSPC,Micromixer,0.0,7.542000000000001,6.704000000000001,2.514,1.375,3.5002575415843395,MQ,YES,70.04,0.171
62CD,HSPC,Micromixer,0.0,7.542000000000001,6.704000000000001,2.514,2.5,3.5002575415843395,MQ,YES,57.7,0.196
63CD,HSPC,Micromixer,0.0,7.542000000000001,6.704000000000001,2.514,1.375,1.0,MQ,YES,90.63,0.14
64CD,HSPC,Micromixer,0.0,7.542000000000001,6.704000000000001,2.514,2.5,1.0,MQ,YES,90.31,0.13
65CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,1.375,3.5002575415843395,MQ,YES,71.77,0.202
66CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,2.5,3.467368504525317,MQ,YES,57.03,0.219
67CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,1.375,1.0,MQ,YES,105.7,0.18
68CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,2.5,1.0,MQ,YES,108.9,0.217
69CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.25,1.0,MQ,YES,103.9,0.126
70CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.25,3.467368504525317,MQ,YES,119.8,0.164
02CM,ESM,Micromixer,12.026982212493198,0.0,7.973017787506802,0.0,0.7060709978109694,1.8107928849972788,MQ,YES,132.463,0.052
03CM,ESM,Micromixer,17.973017787506805,0.0,2.0269822124931967,0.0,2.0439290021890306,1.8107928849972788,MQ,NO,4941.821,1.0
04CM,ESM,Micromixer,12.026982212493198,0.0,7.973017787506802,0.0,2.0439290021890306,1.8107928849972788,MQ,YES,118.758,0.04
05CM,ESM,Micromixer,17.973017787506805,0.0,2.0269822124931967,0.0,0.7060709978109694,4.189207115002722,MQ,NO,570.792,0.595
06CM,ESM,Micromixer,12.026982212493198,0.0,7.973017787506802,0.0,0.7060709978109694,4.189207115002722,MQ,YES,107.632,0.051
07CM,ESM,Micromixer,17.973017787506805,0.0,2.0269822124931967,0.0,2.0439290021890306,4.189207115002722,MQ,YES,194.774,0.204
08CM,ESM,Micromixer,12.026982212493198,0.0,7.973017787506802,0.0,2.0439290021890306,4.189207115002722,MQ,YES,89.206,0.083
09CM,ESM,Micromixer,20.0,0.0,0.0,0.0,1.375,3.0,MQ,NO,7297.414,1.0
10CM,ESM,Micromixer,10.0,0.0,10.0,0.0,1.375,3.0,MQ,YES,88.68,0.08
11CM,ESM,Micromixer,15.0,0.0,5.0,0.0,0.25,3.0,MQ,YES,189.471,0.213
12CM,ESM,Micromixer,15.0,0.0,5.0,0.0,2.5,3.0,MQ,YES,157.52,0.064
14CM,ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,5.0,MQ,YES,124.934,0.048
15CM,ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,162.675,0.119
16CM,ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,154.375,0.072
17CM,ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,160.902,0.07
18CM,ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,165.879,0.074
19CM,ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,169.422,0.051
20CM,ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,162.092,0.065
21CM,ESM,Micromixer,17.973017787506805,0.0,2.0269822124931967,0.0,0.7060709978109694,1.8107928849972788,MQ,NO,834.01,0.856
